,Column,Metric,Score
0,cap-shape,TVComplement,0.38626292466765144
1,cap-surface,TVComplement,0.7023633677991137
2,cap-color,TVComplement,0.4032496307237814
3,bruises,TVComplement,0.9283604135893648
4,odor,TVComplement,0.46270310192023645
5,gill-attachment,TVComplement,0.5504677498769079
6,gill-spacing,TVComplement,0.6392171344165436
7,gill-size,TVComplement,0.8242245199409158
8,gill-color,KSComplement,0.5473904480551453
9,stalk-shape,TVComplement,0.940792712949286
10,stalk-root,TVComplement,0.6277695716395864
11,stalk-surface-above-ring,TVComplement,0.5801329394387001
12,stalk-surface-below-ring,TVComplement,0.37235352043328407
13,stalk-color-above-ring,TVComplement,0.2908665681930084
14,stalk-color-below-ring,TVComplement,0.2730182176267849
15,veil-type,TVComplement,1.0
16,veil-color,TVComplement,0.1774987690792713
17,ring-number,TVComplement,0.2847119645494831
18,ring-type,TVComplement,0.22476612506154603
19,spore-print-color,TVComplement,0.21541112752338742
20,population,TVComplement,0.5076317085179715
21,habitat,TVComplement,0.44719350073855246
22,class,TVComplement,0.9939684884293452
