,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,c,y,n,t,f,f,c,n,u,e,b,y,s,b,y,p,n,t,e,n,s,l,p
1,x,s,p,f,n,a,w,b,e,e,r,f,y,p,e,p,n,o,f,b,y,p,e
2,x,f,e,f,a,a,w,b,p,t,?,s,f,g,n,p,n,n,f,n,n,w,e
3,s,s,e,f,a,f,w,b,h,t,r,y,f,n,g,p,w,t,f,n,a,g,e
4,x,y,g,f,y,f,c,n,u,e,?,y,y,y,c,p,w,n,l,n,v,u,p
5,f,g,w,t,m,f,c,b,w,t,c,y,f,g,g,p,o,o,e,r,a,w,e
6,k,y,n,f,p,a,w,n,b,e,e,s,s,b,w,p,n,n,l,r,n,l,p
7,x,f,c,f,n,f,c,b,o,t,r,s,s,g,e,p,n,t,e,k,y,w,e
8,f,s,n,f,l,f,w,b,k,t,?,f,f,w,c,p,n,t,n,o,n,m,e
9,x,g,y,t,f,a,w,n,b,t,b,k,y,y,y,p,o,n,l,n,s,g,p
10,s,f,u,t,f,f,c,n,g,e,e,y,f,b,p,p,y,n,l,r,v,g,p
11,k,s,c,t,p,f,c,n,b,e,e,y,s,y,b,p,y,n,e,r,s,d,p
12,c,s,c,f,f,f,c,b,u,e,e,k,s,c,c,p,o,n,l,r,n,l,p
13,k,g,r,f,a,a,w,b,e,t,e,k,s,y,o,p,n,t,p,u,n,g,e
14,x,s,n,t,f,f,w,n,h,e,c,k,f,b,b,p,w,o,l,h,v,m,p
15,x,g,b,f,p,f,c,n,b,e,e,k,f,b,c,p,o,n,e,w,s,p,p
16,b,f,c,t,l,a,w,b,u,e,r,f,f,g,g,p,n,t,f,o,s,u,e
17,c,f,c,t,l,a,c,b,p,t,c,y,s,o,o,p,n,o,f,o,n,g,e
18,b,s,e,f,a,f,w,b,o,t,e,k,f,g,o,p,o,o,p,k,s,l,e
19,s,s,p,t,n,a,c,n,e,t,r,y,s,n,n,p,n,o,e,u,a,d,e
20,x,g,y,t,m,f,c,b,o,e,?,y,s,w,g,p,o,t,f,k,a,u,e
21,s,g,b,f,l,f,c,b,g,t,r,y,s,g,g,p,w,t,p,n,y,u,e
22,b,g,w,f,f,f,w,n,b,e,b,f,f,b,p,p,w,n,f,u,c,g,p
23,x,g,e,t,f,f,c,n,r,e,e,k,k,c,c,p,y,n,n,h,c,m,p
24,c,s,b,t,p,a,c,n,o,e,?,k,y,b,c,p,y,n,l,r,v,u,p
25,k,f,u,f,l,a,c,b,g,t,e,s,k,w,g,p,n,t,f,n,n,l,e
26,s,g,g,t,f,f,c,n,b,e,c,k,f,b,c,p,y,n,l,y,v,g,p
27,s,g,c,f,m,a,w,b,k,t,e,s,f,e,g,p,w,o,f,o,n,m,e
28,k,g,b,t,c,a,c,n,b,t,e,s,y,n,n,p,y,n,l,k,s,l,p
29,x,s,c,f,l,f,w,n,o,t,r,s,y,w,w,p,o,o,f,o,a,w,e
30,f,f,c,t,l,a,w,n,g,t,r,y,y,g,o,p,o,n,p,y,a,m,e
31,c,g,c,t,p,a,w,b,g,t,e,s,s,o,e,p,n,t,l,u,a,w,e
32,f,y,w,f,a,a,w,b,n,t,r,k,s,p,p,p,w,t,p,o,a,w,e
33,k,y,e,t,l,f,w,n,h,t,r,f,f,n,n,p,o,n,f,y,y,w,e
34,k,s,b,t,p,f,c,n,b,t,b,y,y,w,b,p,w,o,l,r,s,g,p
35,s,g,e,f,l,f,w,b,g,t,r,s,f,g,p,p,w,n,f,u,y,l,e
36,k,s,y,f,n,f,c,b,e,t,r,y,s,w,g,p,w,t,f,u,n,w,e
37,f,s,e,t,y,a,c,b,y,e,e,k,y,c,c,p,y,n,e,r,v,m,p
38,x,s,c,f,l,f,c,b,p,t,c,s,f,y,g,p,n,o,f,u,y,w,e
39,f,y,r,f,n,f,c,b,p,t,r,s,k,e,p,p,o,t,f,b,y,w,e
40,x,s,w,f,a,a,c,n,e,t,?,y,s,g,y,p,n,o,f,b,v,w,e
41,k,y,w,t,l,a,w,b,n,t,c,s,f,c,o,p,o,o,f,k,y,m,e
42,f,g,y,f,n,a,w,b,y,t,r,k,s,n,g,p,o,o,f,u,y,d,e
43,s,y,u,f,l,a,w,b,y,t,r,y,f,c,e,p,y,t,p,o,n,d,e
44,f,g,g,f,s,f,c,n,b,e,b,k,k,b,p,p,y,n,l,r,a,p,p
45,k,y,c,f,y,f,c,n,b,e,?,s,k,c,y,p,w,n,n,k,s,l,p
46,s,s,c,t,n,f,w,b,o,e,b,k,k,g,o,p,y,t,p,b,a,w,e
47,b,y,u,f,l,f,w,b,p,t,b,s,s,g,g,p,n,t,f,n,n,m,e
48,f,y,n,f,a,a,w,b,k,t,c,y,k,w,o,p,n,o,p,w,y,u,e
49,k,g,p,f,f,f,c,n,h,e,b,y,y,b,c,p,w,o,n,y,c,m,p
50,b,y,p,t,f,f,c,n,r,e,r,f,s,e,g,p,y,o,f,r,s,g,p
51,f,s,r,t,m,f,w,n,k,t,?,k,k,g,c,p,y,n,n,w,s,u,p
52,s,y,e,f,y,f,c,n,b,e,c,k,y,w,b,p,y,t,n,w,c,m,p
53,b,s,g,f,s,f,c,n,y,e,c,s,y,o,e,p,y,t,l,r,v,u,p
54,b,f,p,t,f,a,c,n,b,e,b,y,y,y,p,p,w,n,l,r,s,m,p
55,c,g,b,t,f,a,c,n,w,e,b,k,f,e,c,p,n,n,e,h,y,l,p
56,s,f,e,f,l,a,c,n,k,t,c,f,s,o,o,p,o,o,f,u,a,l,e
57,b,s,e,f,p,f,c,n,k,t,b,y,y,b,c,p,y,n,p,k,c,u,p
58,s,g,r,f,s,f,c,n,b,e,b,k,y,c,n,p,w,n,l,r,c,p,p
59,c,g,e,t,y,f,w,b,b,e,?,y,y,b,g,p,o,n,l,r,n,m,p
60,f,f,c,f,a,f,w,b,e,e,r,f,f,n,o,p,o,t,p,u,s,w,e
61,b,y,c,t,n,a,w,n,e,t,r,f,s,o,e,p,o,o,e,b,n,g,e
62,k,s,y,t,s,f,c,n,u,t,b,k,y,p,g,p,y,n,n,k,c,g,p
63,c,s,p,t,c,f,c,n,y,t,e,f,k,b,y,p,y,n,l,w,c,m,p
64,b,y,e,f,n,a,c,n,b,e,e,k,y,c,y,p,y,n,n,r,c,l,p
65,x,f,r,t,l,f,w,b,n,e,?,f,f,g,g,p,w,t,e,u,c,w,e
66,s,y,e,f,l,a,w,b,o,t,c,y,f,g,e,p,o,n,e,n,s,m,e
67,c,y,b,t,c,a,c,n,h,e,?,k,k,b,w,p,y,o,l,h,c,p,p
68,s,s,e,f,l,f,c,b,w,e,r,s,k,g,o,p,n,o,p,w,y,w,e
69,f,s,c,f,n,f,w,b,e,t,r,f,k,g,w,p,n,n,f,n,y,g,e
70,x,s,n,t,l,f,w,b,r,t,c,k,f,w,p,p,o,n,f,o,y,w,e
71,c,g,n,t,l,f,w,n,o,t,?,s,f,g,g,p,o,o,f,w,n,w,e
72,b,g,c,f,l,a,c,b,o,e,c,s,s,e,e,p,o,o,f,b,y,g,e
73,s,y,y,f,y,f,c,b,b,t,e,k,y,b,y,p,w,t,p,h,v,u,p
74,x,g,n,f,c,a,c,n,u,e,b,k,k,b,y,p,y,o,l,r,c,m,p
75,s,s,p,f,l,a,w,b,e,e,b,k,f,e,g,p,n,o,p,r,a,l,e
76,k,s,p,f,a,a,w,b,k,t,e,f,f,b,g,p,n,o,f,b,n,g,e
77,c,s,c,f,a,a,w,b,p,t,?,f,k,g,y,p,n,o,e,w,a,w,e
78,c,g,b,t,y,f,c,n,r,e,?,k,y,c,b,p,y,n,f,o,s,m,p
79,f,s,n,t,n,f,w,b,o,t,?,f,k,g,g,p,o,t,f,y,a,m,e
80,f,g,n,t,n,a,w,b,n,e,c,y,k,g,g,p,n,o,n,u,a,l,e
81,f,g,n,t,a,f,c,b,o,e,e,k,s,e,g,p,o,t,f,u,n,l,e
82,f,y,y,f,a,f,c,b,u,t,r,s,y,p,g,p,w,o,f,w,c,w,e
83,k,s,e,t,f,f,c,b,r,e,r,s,f,p,b,p,y,o,l,w,c,p,p
84,k,g,b,t,f,a,c,n,w,e,b,k,f,b,c,p,y,n,n,y,v,l,p
85,k,f,g,f,a,a,c,b,e,e,e,f,s,e,g,p,n,n,f,r,y,d,e
86,b,g,r,t,n,a,w,b,e,e,r,f,y,n,g,p,n,o,e,n,n,d,e
87,b,g,g,f,p,f,w,n,r,e,b,y,s,p,b,p,w,n,l,u,v,d,p
