,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,s,s,c,f,a,a,w,b,n,t,r,s,f,g,g,p,o,t,f,u,n,w,e
1,c,g,w,t,f,f,c,n,b,e,b,k,y,p,y,p,y,o,l,r,c,g,p
2,b,g,c,f,a,f,w,b,e,t,r,f,s,g,g,p,n,t,f,u,n,w,e
3,s,s,c,f,l,f,w,b,n,t,e,f,k,o,g,p,o,t,f,n,n,w,e
4,s,f,c,f,a,a,w,b,k,t,r,s,f,o,o,p,o,t,f,u,n,p,e
5,c,y,c,f,a,f,w,b,e,t,r,f,k,g,g,p,n,t,f,o,n,w,e
6,s,f,c,f,l,f,w,b,p,t,r,f,f,g,g,p,n,t,f,u,n,w,e
7,c,g,b,t,f,f,c,n,b,e,b,k,y,y,y,p,w,n,l,r,c,m,p
8,s,f,n,f,l,f,w,b,p,t,c,f,s,g,o,p,n,t,f,u,n,w,e
9,s,y,e,f,a,a,w,b,e,t,r,s,f,g,o,p,n,t,f,k,y,p,e
10,f,s,u,f,a,a,w,b,k,t,r,y,s,g,e,p,n,t,f,h,n,w,e
11,f,g,b,t,c,f,c,n,b,e,b,k,y,b,c,p,y,n,l,r,c,d,p
12,b,g,r,t,f,f,c,n,b,t,b,k,y,c,c,p,o,t,l,r,c,g,p
13,f,s,r,f,l,f,w,b,p,t,r,y,k,e,e,p,n,o,f,u,n,p,e
14,s,f,c,f,a,a,w,b,u,t,r,f,f,n,e,p,o,t,f,n,n,p,e
15,s,s,c,f,l,f,w,b,e,t,r,f,f,g,g,p,n,t,f,u,n,w,e
16,x,g,c,f,l,f,w,b,p,t,e,s,f,e,o,p,n,t,f,u,n,w,e
17,x,s,c,f,a,a,w,b,e,t,e,y,k,o,g,p,n,t,f,w,a,w,e
18,s,s,c,f,a,a,w,b,g,t,r,f,f,g,g,p,n,t,f,u,a,w,e
19,s,f,u,f,a,a,w,b,o,t,r,f,f,g,g,p,n,t,f,n,y,w,e
20,x,g,b,t,c,a,c,n,b,e,b,k,y,b,c,p,y,o,l,r,c,m,p
21,s,f,r,f,a,f,w,b,e,t,r,y,k,p,g,p,n,t,f,u,y,w,e
