,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,x,g,w,f,f,a,c,b,b,e,b,k,y,b,o,p,y,n,n,r,c,m,p
1,s,s,u,f,a,f,w,n,o,t,r,f,f,g,e,p,o,o,f,u,n,m,e
2,x,g,w,f,f,f,w,n,b,t,b,k,y,b,n,p,y,o,l,h,v,g,p
3,c,g,b,t,p,f,c,n,b,t,b,k,y,y,c,p,y,n,l,r,v,m,p
4,b,s,r,f,p,f,c,n,b,t,b,k,f,b,n,p,o,n,l,r,c,d,p
5,x,s,u,t,s,f,c,n,b,e,b,k,y,b,y,p,o,t,l,r,c,g,p
6,x,f,p,f,a,f,w,b,y,t,r,s,f,o,p,p,w,o,f,u,s,l,e
7,b,y,p,t,f,f,c,n,b,e,b,k,y,n,b,p,y,n,l,r,s,d,p
8,s,g,r,f,l,f,w,b,e,e,c,f,k,e,g,p,o,n,f,u,y,w,e
9,x,y,c,f,l,f,w,b,e,t,r,s,f,c,n,p,o,t,f,u,n,p,e
10,s,f,r,f,l,a,c,b,e,t,r,s,f,g,p,p,o,o,f,y,y,w,e
11,f,f,b,t,s,f,c,b,b,e,b,y,y,b,b,p,w,n,l,r,a,m,p
12,c,y,y,t,y,f,w,n,b,e,b,s,y,y,y,p,y,n,l,b,c,m,p
13,k,y,y,t,s,a,c,n,b,e,b,s,y,y,c,p,n,o,l,r,s,m,p
14,b,g,g,t,c,a,c,n,b,e,?,k,y,c,y,p,y,t,l,r,s,p,p
15,s,f,n,f,l,a,w,b,k,t,c,f,k,g,p,p,w,o,f,u,a,w,e
16,b,s,p,t,m,f,c,n,b,t,?,y,y,w,c,p,w,n,l,k,c,l,p
17,x,g,c,t,p,a,c,n,b,e,b,k,f,b,c,p,w,o,l,k,v,u,p
18,x,g,u,t,l,a,c,b,k,t,c,f,y,g,e,p,w,o,p,y,y,g,e
19,s,f,r,t,l,a,w,b,e,t,c,f,s,p,g,p,n,o,f,u,y,l,e
20,k,s,n,f,n,a,w,n,y,t,r,s,f,p,g,p,o,t,n,k,n,g,e
21,s,y,g,t,y,a,c,n,b,e,b,k,s,c,y,p,y,o,l,r,s,m,p
22,f,g,p,t,f,f,c,b,b,e,b,k,y,y,y,p,y,n,l,r,c,m,p
23,c,s,r,t,p,f,w,n,b,e,?,s,f,c,b,p,y,n,n,r,c,d,p
24,c,s,r,f,c,a,c,n,b,e,b,y,y,c,g,p,y,n,l,r,c,u,p
25,b,s,r,t,n,f,c,n,u,e,r,f,f,e,e,p,o,t,f,k,y,w,e
26,k,f,g,f,l,a,w,b,e,t,e,s,y,g,p,p,w,n,f,u,n,p,e
27,c,g,n,t,y,a,c,n,b,e,b,k,y,b,y,p,y,n,l,r,v,l,p
28,x,y,n,t,y,a,c,n,b,e,b,s,k,b,y,p,o,o,l,n,a,u,p
29,x,y,r,f,a,a,w,b,g,t,c,s,f,e,g,p,n,t,f,n,a,w,e
30,s,y,c,f,l,a,w,b,e,t,r,f,f,n,g,p,o,t,f,n,a,w,e
31,b,f,n,t,c,a,c,n,b,e,b,k,y,b,c,p,w,o,l,r,y,u,p
32,x,g,w,f,c,a,w,n,b,e,b,k,f,w,b,p,n,n,l,r,c,l,p
33,c,s,y,f,c,f,c,n,b,e,e,k,s,b,e,p,y,t,l,r,s,g,p
34,f,g,b,f,y,f,c,n,b,e,b,k,s,b,c,p,w,t,l,r,v,d,p
35,x,f,u,f,a,f,w,b,o,t,r,f,k,g,g,p,o,t,f,k,n,w,e
36,f,s,n,f,a,f,w,b,w,t,r,s,f,g,p,p,o,t,f,u,a,w,e
37,b,g,w,t,f,f,c,n,b,e,b,y,y,y,y,p,y,n,n,w,c,m,p
38,x,f,u,f,n,f,w,b,p,t,c,y,f,g,g,p,o,o,f,u,n,w,e
