,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,c,y,u,f,a,a,c,b,r,t,r,f,f,g,p,p,o,t,p,u,s,w,e
1,s,g,c,t,n,f,w,n,u,t,c,f,f,g,e,p,n,o,n,b,c,w,e
2,x,f,c,t,n,a,w,b,e,t,e,s,k,o,g,p,w,t,f,k,y,m,e
3,x,s,e,t,f,a,w,n,b,t,?,k,f,o,n,p,y,o,l,h,s,m,p
4,x,f,u,t,a,a,w,n,o,e,c,s,s,e,o,p,o,t,f,u,c,w,e
5,f,g,p,t,p,a,w,b,y,e,?,k,y,g,b,p,o,n,l,k,s,m,p
6,x,y,c,f,y,f,c,b,y,e,e,f,y,y,c,p,o,n,p,k,y,u,p
7,c,s,y,t,s,f,w,b,b,e,e,k,k,y,b,p,w,n,p,r,v,d,p
8,x,f,n,t,f,f,c,n,b,e,?,s,k,y,o,p,n,t,n,r,c,l,p
9,b,s,r,f,n,a,c,b,n,t,r,f,y,o,e,p,n,t,p,w,n,p,e
10,c,s,w,f,s,a,w,n,b,t,b,k,f,b,b,p,y,t,l,h,v,m,p
11,c,y,w,t,c,f,c,n,o,t,?,f,f,y,y,p,n,n,l,k,y,m,p
12,b,y,w,t,c,a,c,b,b,t,c,k,y,b,p,p,o,o,n,r,c,l,p
13,b,f,b,f,f,a,c,n,b,e,e,s,f,b,y,p,n,o,l,h,v,p,p
14,x,s,r,f,c,f,w,n,r,t,b,f,y,c,c,p,n,t,n,h,v,m,p
15,f,g,p,t,c,a,c,n,b,e,b,k,y,n,b,p,w,n,l,h,v,g,p
16,k,g,e,t,f,f,c,b,e,t,b,s,s,g,b,p,w,n,n,r,a,l,p
17,b,s,c,f,a,a,w,b,r,t,e,s,s,o,g,p,w,t,p,k,n,w,e
18,x,y,p,f,f,a,c,n,b,e,b,k,k,c,y,p,y,n,n,r,c,l,p
19,b,g,n,f,a,f,w,b,n,t,r,s,y,e,n,p,w,t,n,y,n,l,e
20,s,s,g,f,l,f,w,b,r,t,c,f,y,y,o,p,o,o,n,w,v,w,e
21,s,s,y,f,f,a,w,n,k,e,b,f,y,b,y,p,y,t,p,r,s,l,p
22,b,y,p,f,l,f,w,b,e,t,e,s,k,y,n,p,n,n,n,n,c,w,e
23,s,s,c,f,n,a,w,b,k,t,r,f,k,g,o,p,o,t,e,w,y,l,e
24,x,g,g,f,p,a,c,n,h,t,b,f,s,b,y,p,y,n,p,h,v,d,p
25,s,f,e,f,n,a,w,b,w,t,r,y,y,o,c,p,n,t,f,h,y,l,e
26,b,s,y,f,n,f,w,b,g,t,r,f,f,o,o,p,o,t,e,k,n,w,e
27,b,f,g,f,l,a,w,b,w,e,r,s,y,g,e,p,o,o,p,b,y,m,e
28,k,s,p,t,p,f,c,n,n,e,b,k,s,y,y,p,o,n,p,r,y,d,p
29,s,f,g,t,n,f,w,n,k,e,c,f,f,e,g,p,o,o,n,k,c,d,e
30,b,s,b,f,a,a,w,b,w,t,r,y,f,n,g,p,n,t,f,n,a,m,e
31,f,f,e,f,a,a,w,b,o,e,c,f,s,o,g,p,n,o,e,b,a,w,e
32,b,s,b,t,s,f,c,b,b,e,r,y,f,y,e,p,y,n,n,r,v,d,p
33,f,s,b,t,y,a,w,n,r,t,b,y,y,w,n,p,o,o,l,w,v,p,p
34,b,f,w,f,n,a,c,b,k,e,c,y,f,g,p,p,n,o,f,y,a,w,e
35,k,s,g,f,p,f,c,n,k,e,b,k,k,y,w,p,y,n,l,k,v,d,p
36,x,y,u,t,a,a,w,b,n,t,e,s,s,g,g,p,n,t,n,b,y,w,e
37,s,f,g,f,l,a,w,b,n,e,e,f,f,g,g,p,n,o,f,w,y,m,e
38,c,y,g,t,s,a,c,n,h,e,b,f,f,p,e,p,n,t,l,h,c,d,p
39,f,y,c,f,n,f,c,b,o,e,r,f,f,w,c,p,o,o,e,u,y,g,e
40,c,g,e,t,y,f,w,n,w,t,e,k,s,w,b,p,y,o,p,w,c,g,p
41,f,y,u,f,l,a,c,b,p,e,e,f,k,o,p,p,o,n,f,k,a,l,e
42,b,g,y,f,s,f,c,n,e,e,b,y,s,y,e,p,y,t,l,y,v,m,p
43,k,f,w,t,p,a,c,n,b,e,b,k,k,e,g,p,n,o,p,r,s,d,p
44,f,y,g,t,y,a,w,n,o,t,r,y,k,g,e,p,o,n,f,b,a,w,e
45,c,s,y,t,a,a,w,b,n,t,r,y,f,n,p,p,o,o,n,n,v,p,e
46,f,g,g,t,s,f,c,b,b,t,?,k,k,b,y,p,n,n,n,r,c,u,p
47,b,f,r,f,a,a,w,b,o,e,r,f,f,w,n,p,n,n,e,b,s,u,e
48,b,s,e,f,a,f,w,b,e,e,c,f,s,g,o,p,n,t,f,h,v,w,e
49,c,y,g,t,n,f,c,n,w,t,b,f,y,w,b,p,w,n,l,r,c,p,p
50,k,f,u,f,f,f,c,n,b,t,b,k,y,c,b,p,w,n,n,k,a,m,p
51,f,s,b,t,p,f,c,b,h,e,b,y,k,w,p,p,y,o,e,r,c,m,p
52,s,g,y,t,f,f,c,n,g,e,c,k,s,c,c,p,y,o,l,w,s,g,p
53,f,s,y,t,p,f,c,n,b,e,c,k,y,y,b,p,y,t,n,o,a,g,p
54,c,f,n,f,n,f,w,b,h,t,?,s,f,w,p,p,o,o,n,y,y,w,e
55,c,y,u,t,c,f,w,b,k,t,b,y,y,w,b,p,o,n,p,r,a,m,p
56,b,s,n,f,y,a,c,n,h,e,?,y,y,y,p,p,y,t,n,b,v,d,p
57,b,y,b,t,s,a,c,n,b,e,b,y,s,g,p,p,y,n,p,k,v,u,p
58,k,y,b,f,m,a,w,n,b,e,b,s,y,y,b,p,y,t,l,u,v,l,p
59,s,f,g,t,l,f,w,n,r,t,r,k,f,o,o,p,y,t,n,u,a,g,e
