,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,c,g,b,t,f,f,w,n,b,e,?,k,y,b,y,p,y,n,l,r,c,m,p
1,s,y,e,f,l,f,w,b,k,t,r,s,k,g,g,p,w,t,f,u,y,w,e
2,b,y,b,t,f,a,c,n,b,e,b,k,y,c,c,p,y,n,l,r,v,d,p
3,s,y,c,f,l,f,w,b,e,t,r,s,k,n,w,p,n,t,f,u,y,w,e
4,f,s,n,t,f,f,w,n,b,e,b,k,f,c,y,p,w,n,l,o,s,g,p
5,s,f,c,f,l,f,w,b,e,t,r,f,f,g,o,p,o,t,f,u,n,w,e
6,s,f,w,t,l,a,c,b,h,t,r,s,k,o,g,p,n,t,f,y,y,w,e
7,k,g,u,t,p,f,c,n,b,e,?,s,y,c,y,p,o,n,l,r,c,l,p
8,s,f,c,f,l,a,w,b,n,t,r,s,f,e,o,p,n,t,e,y,y,w,e
9,s,g,c,f,l,a,w,b,o,t,r,f,s,g,w,p,o,t,f,b,a,w,e
10,b,g,b,t,p,f,w,b,b,e,b,k,y,c,y,p,y,n,l,r,c,m,p
11,s,y,n,t,l,a,w,b,o,t,c,y,k,g,e,p,n,t,f,u,y,w,e
12,s,f,c,f,a,a,w,b,w,t,e,y,f,g,g,p,o,t,f,k,y,w,e
13,b,g,b,t,f,a,c,n,b,e,b,s,y,w,y,p,w,n,l,r,c,m,p
14,s,s,c,f,l,a,w,b,e,t,r,y,f,g,g,p,o,t,f,u,n,w,e
15,c,f,n,f,a,a,w,b,e,t,r,s,k,p,e,p,n,n,f,u,y,w,e
16,c,y,w,t,f,f,w,n,b,e,b,k,y,b,y,p,y,n,l,r,s,p,p
17,s,y,c,f,a,a,w,b,o,t,c,f,f,g,n,p,o,t,f,w,a,p,e
18,b,s,p,f,l,f,w,b,o,t,r,s,f,o,g,p,n,t,f,u,a,w,e
19,s,g,g,f,a,a,w,b,n,t,c,s,s,e,g,p,n,t,f,w,n,w,e
20,k,y,w,t,f,f,c,n,b,e,b,f,y,c,y,p,y,n,l,r,c,m,p
21,b,s,y,t,p,f,c,n,b,e,b,k,y,y,y,p,y,n,l,r,s,d,p
22,s,f,r,f,l,f,w,b,k,t,c,y,f,g,n,p,n,t,f,b,y,w,e
23,b,f,w,t,f,f,c,n,b,e,e,y,y,y,y,p,y,n,l,r,v,g,p
24,b,y,c,f,a,a,w,b,k,t,e,f,f,g,g,p,n,n,f,n,y,p,e
25,k,f,c,f,a,a,w,b,e,t,r,f,f,g,o,p,n,t,f,k,y,p,e
26,k,g,y,t,p,f,c,n,b,e,?,k,y,c,c,p,y,o,l,r,v,m,p
27,b,g,c,f,a,a,w,b,h,t,c,f,f,g,o,p,n,t,f,y,y,w,e
28,s,y,g,t,n,a,w,b,e,t,c,f,f,n,o,p,o,t,f,k,y,w,e
29,b,s,p,t,p,a,c,n,b,e,b,k,y,y,b,p,o,n,l,r,c,m,p
30,s,y,c,f,l,a,c,b,e,t,r,s,k,g,e,p,o,t,f,k,n,w,e
31,b,f,c,t,a,a,w,b,w,t,r,s,f,e,e,p,w,t,f,w,y,w,e
32,c,g,b,t,p,a,c,n,b,t,b,k,y,y,c,p,o,n,l,r,s,l,p
33,x,f,c,f,a,a,w,b,e,t,e,s,s,g,o,p,w,t,f,u,n,w,e
34,f,g,b,t,p,a,c,n,b,e,b,f,y,b,n,p,y,n,l,r,c,d,p
35,b,f,n,t,f,f,c,n,b,e,b,k,y,b,y,p,y,o,l,r,c,u,p
36,b,f,c,f,l,f,w,b,e,t,e,s,f,e,e,p,n,t,f,u,y,w,e
37,s,s,c,f,l,f,c,b,e,t,r,s,k,g,e,p,o,t,f,o,n,w,e
38,k,s,n,f,l,a,w,b,e,t,e,f,f,g,p,p,o,o,f,b,n,w,e
39,k,f,u,f,a,a,w,b,u,t,c,f,f,e,e,p,n,t,f,u,y,w,e
40,s,s,c,f,l,a,w,b,e,t,c,s,f,e,g,p,w,t,f,u,y,w,e
