,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,f,y,n,f,p,f,c,n,u,e,r,f,k,p,w,p,w,o,p,n,s,p,p
1,c,s,n,t,l,a,w,b,k,e,c,f,y,o,o,p,n,o,p,n,n,g,e
2,x,f,c,f,l,f,c,n,p,t,b,s,f,w,p,p,w,o,f,u,v,p,e
3,b,s,w,t,l,a,w,n,n,e,c,k,k,o,o,p,n,o,p,u,v,l,e
4,f,y,c,f,a,f,w,b,w,t,b,f,s,g,w,p,w,o,p,n,y,d,e
5,b,s,w,t,n,a,w,b,n,e,c,s,y,o,o,p,n,o,p,b,y,g,e
6,b,g,p,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,p
7,b,f,g,f,p,f,c,n,p,e,b,k,k,p,b,p,w,o,l,k,v,u,p
8,b,f,n,t,p,f,c,n,n,t,?,k,y,y,y,p,y,o,e,k,s,d,p
9,k,y,c,t,c,f,c,n,u,e,c,f,s,g,w,p,w,o,p,k,c,d,p
10,f,y,n,t,a,f,w,b,w,e,r,f,f,w,n,p,w,o,e,n,s,g,e
11,f,s,p,t,a,f,w,b,w,e,?,f,f,e,w,p,w,o,e,n,a,g,e
12,k,g,g,t,c,f,c,n,u,e,b,s,f,w,y,p,w,o,p,k,s,u,p
13,k,f,n,f,n,f,c,b,n,t,b,k,f,g,p,p,w,o,p,b,s,p,e
14,b,f,y,f,p,f,c,n,n,t,?,k,y,p,b,p,w,o,e,n,v,d,p
15,f,f,g,f,a,f,c,b,p,t,e,s,f,w,n,p,w,o,f,n,y,u,e
16,k,s,y,f,a,a,c,b,u,t,b,k,f,o,o,p,n,o,p,n,v,l,e
17,x,f,b,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,m,p
18,f,s,c,f,l,f,c,b,n,t,b,s,y,p,w,p,w,o,p,n,y,p,e
19,k,y,n,f,y,f,c,n,b,t,?,k,y,y,y,p,y,n,e,w,c,d,p
20,b,s,w,f,l,a,c,b,y,e,c,s,s,o,o,p,o,o,p,n,y,g,e
21,f,y,n,f,a,a,c,n,p,e,r,k,y,o,o,p,o,o,p,u,y,p,e
22,b,g,p,f,p,f,w,n,g,e,b,k,k,b,b,p,w,o,l,k,y,g,p
23,f,y,n,t,c,f,c,n,u,e,c,f,f,n,p,p,w,o,p,k,s,d,p
24,k,y,c,t,n,a,c,b,g,t,b,k,f,o,o,p,n,o,p,n,y,p,e
25,f,y,e,f,c,f,c,n,u,e,c,f,f,g,w,p,w,o,p,n,c,d,p
26,f,f,e,f,f,a,c,b,w,t,?,k,y,c,c,p,w,o,n,h,c,w,p
27,f,y,y,t,a,f,w,n,w,e,r,f,f,e,e,p,w,o,e,u,a,g,e
28,x,y,n,f,l,a,c,b,o,e,r,k,y,o,o,p,n,o,p,n,y,p,e
29,k,y,c,t,a,f,w,b,k,t,b,k,y,p,g,p,w,o,p,k,y,d,e
30,c,s,b,f,p,f,c,n,g,e,b,k,k,n,b,p,w,o,l,k,v,m,p
31,x,s,e,f,c,f,c,n,w,t,?,k,y,c,c,p,w,o,n,n,c,d,p
32,b,g,b,f,c,f,w,n,g,e,b,k,k,p,n,p,w,o,l,n,v,g,p
33,c,s,b,f,c,f,c,n,g,e,b,k,k,b,p,p,w,o,l,k,v,m,p
34,b,y,e,f,p,f,w,n,y,e,c,f,f,g,w,p,w,o,p,n,c,l,p
35,b,s,r,t,l,a,w,b,o,e,?,y,y,o,o,p,n,o,p,n,n,g,e
36,x,y,w,f,c,f,c,n,n,e,b,k,y,w,e,p,w,o,e,k,v,g,p
37,f,s,e,f,a,f,w,n,w,t,b,s,f,w,n,p,w,o,f,u,y,d,e
38,f,y,e,f,s,f,c,n,w,e,c,k,y,c,c,p,w,o,n,w,c,l,p
