,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,b,g,p,t,f,f,c,n,b,e,b,k,y,y,y,p,w,n,l,r,c,p,p
1,b,g,b,t,f,a,c,n,b,e,b,k,y,y,y,p,y,o,l,r,c,m,p
2,s,y,c,f,a,a,w,b,e,t,r,f,k,p,g,p,o,t,f,n,n,w,e
3,x,y,b,t,p,f,c,n,b,e,b,k,y,b,y,p,n,n,l,r,c,d,p
4,s,y,n,f,l,a,w,b,e,t,r,s,s,g,b,p,y,t,f,k,y,w,e
5,f,f,w,f,l,a,w,b,w,t,r,k,f,o,g,p,o,t,f,u,n,w,e
6,c,g,e,t,f,f,c,n,b,e,b,y,y,c,b,p,y,n,l,r,c,m,p
7,s,y,n,f,l,a,w,b,e,t,r,y,f,n,g,p,n,t,f,u,y,w,e
8,s,s,u,t,l,a,w,b,e,t,r,s,f,g,e,p,n,n,f,u,y,w,e
9,b,s,y,t,f,f,c,n,b,e,b,k,y,c,y,p,w,n,l,r,c,u,p
10,k,s,n,t,p,a,c,n,b,e,b,y,y,y,y,p,y,n,l,r,c,m,p
11,k,g,b,t,f,a,c,n,b,e,b,k,y,y,y,p,y,t,l,r,c,m,p
12,s,f,c,f,a,a,w,b,e,t,e,s,s,o,g,p,o,t,f,u,n,w,e
13,c,g,w,t,f,f,c,n,b,e,b,f,y,y,y,p,y,o,l,r,c,g,p
14,c,f,y,t,f,a,c,n,b,e,b,k,y,c,b,p,w,o,l,r,s,m,p
15,s,y,u,f,a,a,w,b,o,t,r,y,f,g,o,p,o,t,f,k,y,w,e
16,b,s,u,f,a,a,w,b,e,t,r,y,s,g,e,p,o,t,f,u,n,w,e
17,x,y,y,t,p,f,c,n,b,e,?,k,y,b,y,p,w,o,l,r,c,m,p
18,x,s,g,t,f,f,c,n,b,e,b,k,y,c,c,p,y,o,l,r,c,m,p
19,x,y,r,f,a,a,w,b,e,t,r,s,f,g,g,p,y,t,f,n,a,w,e
20,x,s,e,f,l,a,w,b,o,t,r,f,k,g,o,p,n,n,f,u,n,w,e
21,k,f,r,f,l,a,w,b,k,t,e,y,f,g,g,p,n,t,f,o,n,w,e
22,x,y,r,f,a,a,w,b,p,t,r,f,f,g,o,p,n,t,f,k,n,w,e
23,x,g,p,t,f,a,c,n,b,e,b,k,y,w,y,p,y,n,l,r,c,p,p
24,f,f,c,f,a,f,c,b,n,t,c,f,k,o,p,p,o,t,f,b,y,w,e
25,f,f,u,f,a,f,w,b,e,t,r,y,k,g,g,p,n,t,f,u,y,w,e
26,k,f,c,f,l,a,w,b,r,t,r,y,f,g,g,p,n,t,f,y,n,w,e
27,s,f,u,f,a,f,w,b,e,t,r,k,f,w,o,p,o,t,f,k,n,w,e
28,f,g,e,t,f,a,c,n,b,e,b,k,y,e,y,p,w,n,l,r,c,u,p
29,f,y,c,f,l,f,w,b,e,t,r,s,s,g,g,p,n,t,f,u,n,p,e
30,b,g,p,t,f,f,c,n,b,e,b,k,y,y,c,p,y,n,l,r,c,m,p
31,b,g,w,t,f,f,c,n,b,e,b,k,y,c,y,p,w,o,l,r,c,m,p
32,s,y,r,f,a,f,w,b,h,t,r,f,f,g,g,p,w,t,f,h,n,w,e
33,k,g,w,t,c,f,c,n,b,e,b,k,y,y,y,p,w,n,l,r,c,m,p
34,b,g,b,t,f,f,w,n,b,e,b,k,y,y,y,p,y,n,l,r,c,g,p
35,c,f,g,t,c,a,c,n,b,e,b,k,y,w,y,p,y,t,l,r,c,m,p
36,x,f,n,f,l,a,w,b,e,t,e,f,f,g,g,p,n,t,f,n,y,w,e
37,b,g,b,t,p,a,c,n,b,e,b,k,y,w,n,p,o,o,l,r,c,m,p
38,f,g,b,t,s,f,c,n,b,e,b,k,y,y,c,p,y,o,l,r,c,g,p
39,c,s,p,t,f,f,c,n,b,e,?,k,y,b,y,p,w,n,l,r,c,l,p
40,x,g,p,t,c,f,c,n,b,e,b,k,y,y,y,p,y,n,p,r,s,m,p
41,c,f,w,t,f,f,c,n,b,e,b,k,y,c,y,p,y,n,l,r,c,d,p
42,s,f,n,f,l,a,w,b,u,t,r,y,k,g,e,p,n,t,f,n,a,w,e
43,x,y,r,f,l,f,w,b,e,t,r,f,f,p,o,p,n,t,f,u,n,w,e
44,k,g,g,t,f,a,c,n,b,e,b,k,y,b,y,p,y,n,l,r,c,d,p
45,s,f,c,f,a,a,w,b,e,t,r,f,f,g,g,p,o,t,f,u,n,p,e
46,k,y,r,f,l,f,w,b,e,t,r,f,f,g,g,p,n,t,f,n,n,w,e
47,b,g,g,t,f,f,c,n,b,e,e,k,y,c,y,p,w,o,l,r,c,m,p
48,f,f,n,f,l,a,w,b,o,t,e,f,f,g,g,p,o,t,f,u,y,w,e
49,f,y,g,t,f,f,c,n,b,e,b,k,y,c,y,p,y,o,l,r,c,m,p
50,s,f,u,f,l,f,w,b,k,t,c,s,f,g,e,p,n,t,f,n,y,p,e
51,s,s,u,f,a,a,w,b,e,t,r,s,s,c,g,p,o,o,f,o,n,w,e
52,f,f,u,f,l,f,w,b,k,t,r,s,f,o,e,p,n,t,f,k,y,w,e
53,k,f,c,f,l,f,w,b,u,t,r,s,s,g,e,p,o,t,f,b,n,w,e
54,c,g,g,t,p,f,c,n,b,e,b,y,y,c,y,p,y,o,l,r,c,m,p
55,s,y,e,f,a,a,w,b,e,t,r,f,f,g,g,p,o,t,f,o,y,w,e
56,b,f,c,f,a,f,w,b,e,t,e,y,f,g,g,p,o,t,f,u,y,w,e
57,x,s,b,t,c,f,c,n,b,e,b,s,y,c,p,p,y,o,l,r,c,m,p
58,b,y,b,t,p,f,c,n,b,e,?,k,y,b,y,p,y,n,l,r,c,l,p
59,x,y,c,f,l,a,w,b,o,t,c,f,f,e,o,p,o,t,f,u,a,w,e
60,x,s,c,f,a,a,w,b,o,t,c,f,f,o,n,p,n,n,f,u,y,l,e
61,f,y,u,f,l,a,w,b,n,t,r,y,f,g,g,p,n,t,f,n,n,p,e
62,s,g,y,f,l,a,w,b,n,t,r,f,f,g,o,p,o,t,f,n,y,w,e
63,f,g,u,t,c,f,c,n,b,e,b,k,y,c,y,p,y,n,l,r,c,g,p
64,c,g,b,t,f,a,w,n,b,e,b,f,y,c,b,p,y,n,l,r,c,m,p
65,s,f,c,f,a,f,w,b,u,t,r,f,f,g,g,p,o,t,f,n,a,w,e
66,k,y,e,f,a,a,w,b,p,t,r,s,s,e,o,p,o,t,f,k,n,w,e
67,s,g,r,f,a,a,w,b,e,t,r,f,s,g,o,p,o,t,f,u,n,p,e
68,s,f,c,f,l,f,w,b,e,t,c,f,k,e,p,p,o,t,f,k,s,w,e
69,k,g,p,t,f,f,c,n,b,e,b,k,y,b,y,p,w,n,l,r,c,m,p
70,b,g,b,t,f,f,c,n,b,e,b,k,y,c,y,p,y,o,l,r,c,d,p
71,f,f,c,f,a,f,w,b,e,t,r,s,k,g,o,p,n,t,f,n,v,p,e
72,k,f,u,f,a,f,w,b,n,t,r,f,f,e,g,p,n,t,p,n,n,w,e
73,k,g,b,t,c,f,c,n,b,e,b,k,y,c,b,p,w,n,l,r,c,m,p
