,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,k,y,c,f,c,f,c,n,y,e,c,k,y,c,c,p,w,o,n,n,c,l,p
1,k,y,n,t,l,f,c,b,k,t,b,s,f,e,e,p,w,o,e,n,v,l,e
2,x,s,u,t,l,f,w,b,w,t,?,f,s,w,g,p,w,o,e,k,a,g,e
3,b,s,u,f,n,f,c,b,k,e,?,s,y,p,g,p,w,o,p,k,v,l,e
4,f,y,n,f,c,f,c,n,n,t,?,k,k,y,y,p,y,o,e,k,c,d,p
5,x,s,w,f,l,f,c,b,u,e,?,s,f,w,g,p,w,o,f,n,v,l,e
6,k,f,e,f,f,f,c,b,h,t,?,k,k,n,n,p,w,o,l,h,v,d,p
7,f,f,e,t,c,f,c,n,k,e,b,f,y,n,p,p,w,o,p,n,s,u,p
8,c,s,y,t,l,f,w,b,n,e,c,s,f,p,p,p,w,o,e,n,a,g,e
9,k,f,y,f,c,f,c,n,n,t,?,s,y,w,w,p,w,o,e,k,c,d,p
10,f,f,c,f,a,a,c,b,n,t,b,s,k,o,o,p,n,o,p,k,v,l,e
11,s,f,g,t,l,f,c,b,y,t,e,y,y,p,g,p,w,o,p,n,y,u,e
12,b,g,b,f,p,f,w,n,h,e,b,k,k,b,p,p,w,o,l,k,v,g,p
13,x,f,w,f,f,a,c,n,y,t,?,k,y,c,c,p,w,n,n,w,c,d,p
14,x,y,b,f,c,f,c,n,g,e,b,k,k,b,b,p,w,o,l,k,v,g,p
15,x,f,g,t,y,a,c,b,g,e,e,s,y,o,o,p,n,t,p,w,y,u,e
16,k,y,e,f,c,f,c,n,y,t,?,k,y,c,c,p,w,o,n,n,c,d,p
17,b,s,w,t,n,f,w,b,n,e,c,s,f,w,n,p,w,o,e,o,a,g,e
18,b,y,w,f,l,a,c,b,g,e,c,y,y,o,o,p,o,o,p,k,n,g,e
19,x,f,n,t,p,f,c,n,u,t,?,f,k,n,p,p,w,o,p,n,s,p,p
20,x,y,n,f,p,f,c,n,n,t,?,k,y,p,n,p,w,o,e,k,c,d,p
21,c,y,e,f,p,f,w,n,o,e,c,f,s,n,p,p,w,o,p,n,c,l,p
22,f,y,e,t,c,f,c,n,o,t,?,f,k,n,n,p,w,o,p,n,s,d,p
23,x,f,e,f,c,f,c,n,k,t,?,f,f,n,p,p,w,o,p,n,s,d,p
24,s,y,w,t,f,f,c,n,b,e,e,k,y,p,b,p,w,n,e,w,v,g,p
25,x,g,p,t,c,f,c,n,u,e,b,f,f,g,g,p,w,o,p,k,n,g,p
26,b,s,w,f,n,f,w,b,k,e,c,f,f,e,w,p,w,o,e,k,a,g,e
27,c,g,p,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,m,p
28,b,y,p,t,l,f,c,b,g,e,?,k,y,g,p,p,w,o,p,k,c,w,e
29,x,y,y,f,p,f,c,n,y,t,?,k,y,c,c,p,w,o,n,n,c,l,p
30,b,g,b,f,y,f,c,b,b,e,b,k,k,p,g,p,w,o,e,w,v,g,p
31,b,g,b,f,p,f,c,n,p,e,b,k,k,b,n,p,w,o,l,n,y,u,p
32,b,g,b,f,p,f,c,n,p,e,b,k,k,n,p,p,w,o,l,n,y,g,p
33,b,s,n,t,l,f,w,b,w,e,c,f,f,w,p,p,w,o,e,n,a,g,e
34,x,g,b,f,c,f,c,n,g,e,b,k,k,p,w,p,w,o,l,n,v,m,p
35,k,y,e,f,f,f,c,b,h,e,c,k,k,p,w,p,w,o,l,h,y,d,p
36,f,f,w,f,a,f,c,n,y,e,?,k,y,c,c,p,w,o,n,n,c,w,e
37,b,g,g,f,c,f,c,n,u,e,b,s,f,w,w,p,w,o,f,n,y,g,p
38,f,s,c,f,a,f,c,b,w,t,b,s,f,w,g,p,w,o,f,n,y,p,e
39,b,f,w,f,a,f,w,b,w,e,?,y,s,e,e,p,w,o,e,k,a,g,e
40,f,y,n,t,l,f,w,b,w,e,r,f,f,p,g,p,w,o,e,k,a,g,e
41,c,g,y,t,m,f,c,n,b,e,b,k,y,p,b,p,w,o,e,w,v,u,p
42,c,g,p,f,c,f,c,n,h,e,b,k,k,n,b,p,w,o,l,n,v,m,p
43,b,g,b,f,p,f,c,n,p,e,b,k,k,b,n,p,w,o,l,n,y,g,p
44,x,y,e,t,a,f,c,b,n,t,b,f,s,w,w,p,w,o,e,k,s,p,e
45,f,f,e,t,c,f,w,n,o,t,?,y,f,n,n,p,w,o,p,n,c,d,p
46,b,f,p,f,c,f,c,n,u,e,b,f,f,w,y,p,w,o,p,k,v,m,p
47,b,s,w,f,a,f,w,b,k,e,c,f,s,e,e,p,w,o,e,n,a,g,e
48,x,y,n,f,n,a,w,b,o,e,r,s,k,o,o,p,n,o,p,y,y,g,e
49,b,g,p,f,c,f,c,n,y,e,b,k,y,c,c,p,w,o,n,n,c,d,p
50,b,g,w,f,c,f,c,n,p,e,b,k,k,n,p,p,w,o,l,n,y,u,p
51,b,g,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,u,p
52,x,s,w,t,a,a,w,b,g,e,c,s,k,o,o,p,n,o,p,k,n,g,e
53,b,s,w,t,l,f,w,n,n,e,?,f,f,w,n,p,w,o,e,u,a,g,e
54,c,s,y,t,l,a,c,b,o,e,c,s,y,o,o,p,o,o,p,n,n,m,e
55,k,y,e,f,a,f,w,b,u,t,b,s,f,w,e,p,w,o,f,n,y,d,e
56,f,y,n,f,a,f,c,n,p,e,r,s,f,w,g,p,w,o,f,u,y,p,e
57,x,y,y,f,n,f,c,b,h,e,r,s,f,w,e,p,w,o,f,n,v,p,e
58,b,s,w,t,a,f,w,b,k,e,c,f,f,p,w,p,w,o,e,n,s,g,e
59,c,g,w,f,f,f,w,n,b,e,b,y,y,p,n,p,w,o,e,w,v,l,p
60,b,s,p,t,a,f,w,b,n,e,?,f,s,w,w,p,w,o,e,n,a,g,e
61,x,f,c,f,a,a,c,b,p,t,b,k,y,o,o,p,n,o,p,n,y,u,e
62,f,f,n,f,l,f,c,b,p,e,e,s,f,w,g,p,w,o,f,n,v,u,e
63,x,f,g,t,l,f,c,n,n,e,e,f,f,y,y,p,y,o,e,u,v,u,e
64,s,f,w,f,l,f,c,n,p,t,e,s,f,w,g,p,w,o,f,u,y,u,e
65,s,f,g,t,l,f,c,b,g,t,e,s,y,g,w,p,w,o,p,n,y,u,e
66,x,f,n,t,a,f,c,b,y,t,e,y,s,n,n,p,w,o,p,n,y,u,e
67,f,f,g,t,l,a,c,b,k,t,e,s,k,o,o,p,o,o,p,k,y,u,e
68,k,g,w,f,c,f,c,n,g,e,b,k,k,b,p,p,w,o,l,k,y,u,p
69,b,g,p,f,p,f,c,n,u,e,b,s,f,w,n,p,w,o,f,n,v,g,p
70,b,g,g,t,p,f,c,n,u,e,b,y,f,g,w,p,w,o,p,k,s,u,p
71,b,g,w,f,y,f,c,n,b,e,b,k,y,p,w,p,w,o,e,w,v,g,p
72,b,s,y,t,l,a,c,b,n,e,c,k,y,o,o,p,n,o,p,n,n,m,e
73,f,f,e,f,c,f,c,n,g,t,?,k,k,p,n,p,w,o,l,n,y,p,p
74,k,y,n,f,f,a,c,b,w,e,c,k,y,c,c,p,w,o,n,h,c,l,p
75,f,y,e,f,f,f,c,b,g,t,?,k,k,n,n,p,w,o,l,h,y,d,p
76,b,f,b,f,f,f,c,b,g,t,?,k,k,n,p,p,w,o,l,h,v,p,p
77,c,g,w,f,f,f,w,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,p
78,c,s,w,t,l,f,w,b,k,e,c,f,f,p,g,p,w,o,e,k,s,g,e
79,s,f,g,t,a,a,c,b,k,t,e,k,s,o,o,p,n,o,p,n,y,u,e
80,k,f,n,f,a,f,c,b,p,t,b,s,f,w,y,p,w,o,f,n,y,p,e
81,f,y,y,t,l,f,c,b,w,e,r,f,s,e,e,p,w,o,e,k,a,g,e
82,s,f,g,f,n,f,c,b,p,t,e,s,f,w,w,p,w,o,f,n,y,u,e
83,x,y,n,f,c,f,w,n,w,e,c,k,y,c,c,p,w,o,n,n,c,l,p
84,b,y,c,f,p,a,c,n,w,e,c,k,y,c,c,p,w,o,n,k,c,d,p
85,b,s,y,t,a,f,w,b,w,e,c,s,f,w,e,p,w,o,e,n,a,g,e
86,s,f,g,t,l,f,c,b,k,t,e,f,f,w,w,p,w,o,e,k,s,u,e
87,b,s,w,f,n,a,w,b,y,e,c,y,s,o,o,p,o,o,p,y,y,d,e
88,f,y,y,f,a,f,w,b,h,e,r,f,f,e,w,p,w,o,e,k,a,g,e
89,k,f,n,t,c,f,c,n,n,t,?,k,y,p,b,p,w,o,e,n,c,d,p
90,b,s,e,f,c,f,c,n,w,t,?,k,y,c,c,p,w,o,n,n,c,w,p
91,c,g,p,f,c,f,c,n,h,e,b,k,k,b,b,p,w,o,l,k,y,p,p
92,b,f,w,t,a,a,c,n,n,e,?,k,s,o,o,p,n,o,p,u,v,l,e
93,k,g,b,f,c,f,w,n,p,e,b,k,k,p,w,p,w,o,l,n,y,g,p
94,f,y,n,f,c,f,c,n,p,e,c,k,k,p,w,p,w,o,l,k,v,d,p
95,f,f,e,f,a,f,w,n,p,t,b,s,f,w,w,p,w,o,f,u,v,d,e
96,k,y,c,f,y,f,c,n,b,e,c,k,y,p,n,p,w,n,e,w,c,l,p
97,f,f,r,t,n,a,c,b,o,e,?,s,y,o,o,p,o,o,p,b,s,p,e
98,b,s,w,f,a,a,c,b,u,e,c,k,y,o,o,p,o,o,p,n,n,m,e
99,f,y,y,t,n,f,w,b,o,e,r,s,y,p,n,p,w,o,p,b,n,g,e
100,f,f,y,f,p,f,c,n,n,t,?,k,k,p,p,p,w,o,e,k,c,d,p
101,k,g,p,f,p,f,c,n,u,e,b,s,f,w,p,p,w,o,f,n,v,g,p
102,b,f,e,f,a,f,w,b,w,t,b,s,f,w,g,p,w,o,f,n,v,l,e
103,x,f,w,f,f,f,c,b,w,t,?,k,y,c,c,p,w,o,n,h,c,d,p
