,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,c,g,p,t,p,f,c,n,b,e,b,s,y,c,y,p,y,t,l,r,c,u,p
1,s,f,u,f,l,f,c,b,e,e,?,y,s,g,p,p,o,t,f,k,n,w,e
2,s,s,r,f,n,a,c,b,p,t,c,s,f,e,g,p,o,t,f,u,n,w,e
3,k,g,y,t,f,f,c,n,b,e,b,k,y,c,y,p,y,n,l,r,c,m,p
4,s,y,c,f,l,f,w,b,p,t,c,y,k,e,g,p,n,t,f,u,n,p,e
5,s,s,r,t,l,f,w,b,o,t,r,f,f,g,g,p,o,t,p,u,v,w,e
6,x,f,c,f,a,a,w,b,p,t,c,y,f,g,g,p,n,t,f,w,y,w,e
7,c,g,b,f,f,a,c,n,b,e,b,k,y,b,c,p,y,n,l,o,c,g,p
8,c,f,b,t,f,f,c,n,b,e,b,k,y,b,b,p,y,o,l,r,c,d,p
9,s,y,u,f,l,a,w,n,g,t,r,f,s,g,g,p,n,o,f,b,y,w,e
10,f,y,e,t,f,a,c,n,b,e,b,k,y,b,c,p,y,o,l,r,c,d,p
11,s,y,b,f,l,f,w,b,o,t,c,f,f,g,g,p,w,t,f,u,n,w,e
12,c,g,y,t,f,a,w,n,b,e,b,k,y,b,c,p,y,n,l,r,c,m,p
13,c,g,r,t,c,a,c,n,b,e,?,k,y,y,y,p,y,o,p,r,c,m,p
14,s,s,c,f,l,a,w,b,e,t,e,f,s,g,g,p,n,t,l,k,v,w,e
15,b,f,b,t,f,f,c,n,b,e,b,k,y,y,c,p,y,n,l,r,c,d,p
16,k,f,b,t,f,a,c,n,b,t,b,y,y,w,b,p,y,n,e,r,c,m,p
17,k,g,b,t,f,f,c,n,b,e,b,k,y,b,y,p,y,o,l,y,c,g,p
18,s,f,c,f,l,f,w,b,p,t,r,s,s,g,e,p,w,t,f,u,n,w,e
19,s,f,e,t,a,f,w,b,e,t,r,s,f,g,n,p,n,t,f,w,a,w,e
20,s,f,r,f,l,a,c,b,w,t,r,f,s,o,e,p,o,t,f,k,a,w,e
21,x,f,u,f,a,a,w,b,k,t,r,f,f,g,g,p,w,t,f,k,a,w,e
22,f,s,c,f,l,f,w,b,p,t,r,f,s,e,g,p,o,t,f,n,n,w,e
23,c,g,w,t,f,f,c,n,b,e,b,k,y,b,y,p,w,o,l,r,c,m,p
24,s,g,y,t,s,a,c,n,b,e,b,y,y,y,y,p,y,o,l,r,c,m,p
25,x,s,e,f,l,f,w,n,k,t,r,f,f,p,g,p,o,t,f,u,y,w,e
26,x,g,g,t,p,a,c,n,b,e,?,f,y,b,p,p,y,n,l,r,v,d,p
27,b,g,c,f,l,f,w,b,h,t,b,f,k,g,e,p,w,t,f,u,a,w,e
28,s,g,c,f,l,f,c,b,e,t,?,s,k,g,g,p,o,t,f,u,n,p,e
29,f,g,e,f,l,a,w,b,o,t,r,f,s,g,g,p,o,t,f,o,y,w,e
30,k,g,b,t,p,a,c,n,b,e,b,k,y,y,y,p,y,n,l,r,c,m,p
31,c,g,y,f,s,a,w,n,b,e,b,s,y,b,b,p,y,t,n,r,s,g,p
32,s,g,e,f,l,a,c,b,e,t,c,f,f,n,o,p,o,t,e,n,n,w,e
33,k,s,r,f,l,f,w,b,p,t,r,y,k,p,g,p,o,t,f,u,a,w,e
34,s,y,r,f,a,a,w,b,e,t,r,f,k,g,n,p,n,t,f,u,y,w,e
35,s,y,c,f,a,f,w,b,w,t,c,f,f,e,p,p,w,t,f,n,n,w,e
36,f,s,c,f,l,f,w,b,h,t,?,y,f,g,g,p,n,t,f,u,y,w,e
37,b,g,y,t,p,a,c,n,b,e,b,k,y,c,c,p,y,n,l,r,s,m,p
38,s,f,c,f,l,a,w,b,p,t,r,s,s,e,g,p,o,t,f,u,a,w,e
39,b,g,y,t,f,f,c,n,b,e,b,k,y,w,y,p,y,n,l,r,c,m,p
40,f,g,b,t,p,a,c,n,b,e,b,k,y,c,c,p,y,n,l,r,v,d,p
41,s,s,w,f,l,f,w,b,e,t,r,f,f,g,g,p,n,t,p,k,n,w,e
42,k,f,u,f,a,f,w,b,e,t,r,f,k,g,o,p,o,t,f,k,n,w,e
43,c,g,u,f,n,a,w,b,w,t,r,f,k,g,p,p,n,t,f,h,y,p,e
44,k,s,g,f,a,a,w,b,o,t,c,y,f,e,p,p,n,t,f,u,y,u,e
45,f,y,b,f,f,f,c,b,b,e,b,s,y,w,y,p,y,n,n,r,c,m,p
46,s,f,e,f,l,a,w,b,e,t,c,y,s,g,g,p,n,t,e,u,y,w,e
47,s,g,n,f,a,f,c,b,e,t,r,f,k,g,e,p,n,t,f,u,y,w,e
48,s,y,r,f,a,a,w,b,w,t,r,y,f,g,g,p,n,o,f,u,n,w,e
49,k,g,w,t,f,a,c,n,b,e,c,k,s,b,n,p,y,n,l,o,c,m,p
50,x,f,w,f,c,f,c,n,b,e,b,k,y,c,b,p,y,n,l,r,c,p,p
51,f,g,w,f,s,f,w,n,b,e,b,k,y,y,c,p,y,n,l,r,c,g,p
52,s,f,u,f,l,a,c,b,k,t,e,f,f,e,g,p,n,t,f,n,y,w,e
53,f,s,b,t,s,a,c,n,b,e,?,k,y,w,y,p,w,t,l,r,c,m,p
54,f,s,y,t,s,f,c,n,b,e,b,k,y,b,y,p,y,t,l,r,s,l,p
55,x,f,e,f,l,a,w,b,e,t,r,f,k,g,e,p,n,t,f,u,y,w,e
56,x,f,r,f,l,a,w,b,e,t,r,f,s,e,o,p,o,o,f,u,n,w,e
57,s,f,n,f,a,a,w,b,p,t,r,s,f,w,e,p,o,t,e,h,n,w,e
58,b,g,y,t,c,a,c,n,b,e,?,k,y,b,c,p,w,n,l,r,c,g,p
59,k,g,p,t,f,f,c,n,b,e,b,k,y,c,y,p,y,n,l,r,c,m,p
60,x,f,e,f,a,f,w,b,g,t,e,s,k,g,e,p,n,t,f,n,n,w,e
61,s,f,e,f,a,f,w,b,e,t,?,k,s,g,n,p,n,t,e,u,y,u,e
62,s,f,r,f,a,f,w,b,e,t,r,s,k,w,g,p,n,t,f,u,y,w,e
63,f,s,c,f,a,f,c,b,n,t,c,s,f,n,g,p,w,t,f,u,n,w,e
64,s,s,c,f,l,a,w,b,p,t,c,f,f,g,g,p,w,o,f,n,y,p,e
65,b,g,w,t,s,f,c,n,b,e,b,k,y,y,y,p,y,n,l,r,c,m,p
66,k,f,n,f,l,a,w,b,g,t,r,f,s,g,g,p,w,t,f,u,a,w,e
67,b,s,y,t,f,f,c,n,b,e,b,y,y,y,y,p,w,n,l,r,v,d,p
68,s,y,c,f,l,a,w,b,e,t,r,f,k,e,g,p,y,o,f,y,n,w,e
69,c,g,y,t,p,a,c,n,b,e,b,s,y,b,c,p,y,n,l,r,c,m,p
70,c,g,b,t,f,a,c,n,b,e,b,s,y,b,y,p,y,n,l,r,v,g,p
71,s,f,r,f,l,a,w,b,e,t,c,s,f,g,p,p,n,t,f,n,y,w,e
72,s,f,c,f,a,f,w,b,u,t,r,f,f,e,g,p,n,n,f,o,n,w,e
73,s,g,u,f,l,a,w,b,y,t,r,y,f,g,g,p,o,o,f,n,a,w,e
74,s,f,c,f,l,a,w,b,h,t,e,f,s,g,g,p,w,t,f,o,a,w,e
75,k,g,y,t,f,f,w,n,b,e,?,k,y,y,y,p,w,n,l,r,c,m,p
76,k,f,e,f,a,a,w,b,w,t,r,s,f,e,p,p,o,t,f,n,n,w,e
77,s,s,c,f,l,f,w,b,h,t,c,s,f,e,e,p,o,n,f,u,n,w,e
78,k,f,y,f,l,a,w,b,e,t,c,y,f,p,p,p,w,t,f,u,y,w,e
79,f,y,c,f,l,a,w,b,e,t,r,f,k,g,b,p,n,t,f,u,a,w,e
80,s,s,u,f,a,f,w,b,u,t,?,s,k,g,o,p,n,o,f,n,n,w,e
81,f,g,b,t,f,f,c,n,b,e,b,k,y,c,c,p,w,o,l,r,v,m,p
82,c,f,b,t,f,f,w,n,b,e,b,y,y,c,b,p,y,o,l,r,c,g,p
83,b,g,w,t,p,f,c,n,b,e,b,k,y,w,y,p,y,n,l,r,c,u,p
84,k,g,b,t,f,f,c,n,b,e,b,k,y,c,b,p,y,n,l,r,c,g,p
85,s,y,r,f,a,f,c,b,h,t,e,f,k,o,g,p,o,o,f,u,n,w,e
86,k,y,p,t,c,f,c,n,b,e,b,k,y,p,y,p,w,n,l,r,v,m,p
87,s,y,c,f,a,a,w,b,u,t,r,f,f,g,g,p,w,t,f,u,y,l,e
88,s,s,c,f,a,f,w,b,e,t,r,s,f,e,e,p,o,t,f,u,n,w,e
89,c,g,b,t,f,f,c,n,b,t,b,k,y,c,c,p,y,n,l,r,c,l,p
90,b,y,n,t,p,a,c,n,b,e,b,k,y,b,y,p,y,o,l,h,c,m,p
91,f,f,p,t,p,f,c,n,b,e,?,f,k,c,y,p,w,o,l,r,c,u,p
92,f,y,c,f,a,f,w,b,p,t,r,y,f,g,n,p,o,t,f,y,a,w,e
93,b,f,p,t,c,f,c,n,b,e,b,f,y,y,y,p,w,n,l,r,v,u,p
