,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,f,y,y,t,a,f,c,n,n,e,r,y,y,w,e,p,w,o,p,u,s,p,e
1,b,s,r,f,a,f,c,b,p,e,?,k,k,p,w,p,w,o,l,k,v,l,e
2,x,y,b,t,a,f,w,b,u,e,?,y,y,g,w,p,w,o,p,n,y,g,e
3,k,g,w,f,f,f,c,b,w,e,b,f,k,n,p,p,w,o,p,h,s,u,p
4,x,y,y,f,l,f,c,n,p,e,r,s,f,w,w,p,w,o,f,u,y,p,e
5,f,f,b,t,a,f,w,b,h,e,?,f,f,w,p,p,w,o,e,k,a,g,e
6,k,s,n,f,l,f,c,b,k,t,b,y,k,g,w,p,w,o,p,n,y,p,e
7,f,s,n,f,l,f,w,n,n,e,c,s,y,g,g,p,w,o,p,u,s,g,e
8,f,f,w,f,l,f,c,b,w,e,?,s,y,g,w,p,w,o,p,k,c,w,e
9,k,s,g,t,l,f,w,n,w,e,?,s,f,e,e,p,w,o,e,u,c,l,e
10,f,y,n,t,a,a,c,n,n,e,r,s,y,o,o,p,o,o,p,u,s,p,e
11,c,s,w,f,l,a,c,b,o,e,c,k,y,o,o,p,n,o,p,n,n,m,e
12,f,y,p,f,p,f,c,n,g,t,?,f,f,n,b,p,w,o,p,n,c,d,p
13,k,f,w,f,f,f,c,b,w,t,?,k,y,c,c,p,w,o,n,h,c,d,p
14,k,f,e,f,l,f,c,b,y,t,b,s,k,p,g,p,w,o,p,n,y,p,e
15,x,y,n,f,l,a,c,b,g,e,r,k,s,o,o,p,n,o,p,n,y,p,e
16,x,f,e,f,s,f,c,n,b,t,?,k,y,w,p,p,w,o,e,w,c,d,p
17,b,g,g,f,p,f,c,n,g,e,b,f,f,w,y,p,w,o,p,k,s,u,p
18,b,y,b,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,p
19,b,s,p,f,p,f,c,n,g,e,b,k,k,p,n,p,w,o,l,n,v,u,p
20,k,y,b,f,s,f,c,b,b,e,b,k,k,p,p,p,w,o,e,w,v,m,p
21,b,f,y,t,y,f,c,n,b,t,?,k,y,p,n,p,w,t,e,w,c,w,p
22,b,s,n,f,l,f,c,b,w,e,c,f,f,e,e,p,w,o,e,n,s,m,e
23,k,y,n,t,f,f,w,b,g,e,c,f,f,n,p,p,w,o,p,h,c,l,p
24,x,f,e,f,p,f,c,n,u,e,?,s,f,w,w,p,w,o,f,k,y,p,p
25,b,s,w,f,l,f,w,n,n,e,c,f,s,e,e,p,w,o,e,u,s,g,e
26,s,f,g,f,n,a,w,b,y,t,e,y,k,o,o,p,o,o,p,b,n,g,e
27,k,s,y,f,l,f,w,b,h,e,c,s,f,w,g,p,w,o,f,n,y,g,e
28,b,g,b,f,p,f,c,n,g,e,b,k,k,b,b,p,w,o,l,n,v,u,p
29,b,y,b,t,y,f,c,n,b,t,b,k,k,p,p,p,w,n,e,w,v,m,p
30,c,s,y,t,l,f,w,b,p,e,c,f,f,w,g,p,w,o,e,k,a,g,e
31,f,s,y,t,y,f,c,n,b,t,?,k,k,p,w,p,w,n,e,w,c,d,p
32,k,g,b,t,c,f,c,n,u,e,b,y,f,p,n,p,w,o,p,k,y,p,p
33,f,y,e,t,s,f,c,n,b,t,?,k,k,p,p,p,w,n,e,w,v,p,p
34,s,f,g,f,a,f,c,b,h,t,e,s,f,w,g,p,w,o,f,k,v,u,e
35,k,s,e,f,c,f,c,n,p,t,?,k,k,b,b,p,w,o,l,n,y,p,p
36,b,f,e,f,c,f,c,n,u,t,?,s,f,p,b,p,w,o,p,n,s,d,p
37,b,s,w,t,l,f,c,b,k,e,c,s,f,e,e,p,w,o,e,k,s,g,e
38,x,s,w,t,a,a,c,b,u,e,c,s,y,o,o,p,n,o,p,k,y,g,e
39,k,y,c,f,a,f,c,b,p,t,b,s,f,w,g,p,w,o,f,n,v,l,e
40,f,f,g,t,l,f,c,b,n,t,e,s,y,g,g,p,w,o,p,k,y,u,e
41,f,y,y,f,n,f,c,b,h,e,r,s,f,w,g,p,w,o,f,n,y,p,e
42,k,y,n,t,s,f,c,n,b,e,c,k,k,y,y,p,y,o,e,w,s,d,p
43,b,s,c,t,n,a,w,b,w,e,c,k,y,o,o,p,o,o,p,w,n,g,e
44,b,s,r,t,l,f,w,n,w,e,?,f,f,e,e,p,w,o,e,u,a,g,e
