Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.966983491745873
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.7983991995997999
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9299649824912456
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.8960081103889205
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8653980446927374
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8331005586592178
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7971368715083799
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.7932367935175486
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.96
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.8806153846153846
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.7378461538461538
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,0.8168792354077987
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.8724362181090545
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9334667333666833
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,1,superstore,sdv_eval,quality_score,0.9116045086420768
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9130586592178771
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8440991620111732
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8482891061452514
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.809532122905028
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.8321742600890518
trtr,GANBLR,10,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,1,mushrooms,adaboost,accuracy,0.9612307692307692
tstr,GANBLR,10,1,mushrooms,random_forest,accuracy,0.9833846153846154
tstr,GANBLR,10,1,mushrooms,svm,accuracy,0.9304615384615385
sdv_eval,GANBLR,10,1,mushrooms,sdv_eval,quality_score,0.8776077160841025
trtr,CTGAN,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,CTGAN,10,0,superstore,random_forest,accuracy,0.9654827413706853
trtr,CTGAN,10,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,10,0,superstore,adaboost,accuracy,0.9269634817408704
tstr,CTGAN,10,0,superstore,random_forest,accuracy,0.9224612306153076
tstr,CTGAN,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,10,0,superstore,sdv_eval,quality_score,0.9598593206867665
trtr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.915677374301676
trtr,CTGAN,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.8650488826815642
tstr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.8336243016759777
tstr,CTGAN,10,0,credit_risk,svm,accuracy,0.8512569832402235
sdv_eval,CTGAN,10,0,credit_risk,sdv_eval,quality_score,0.9602547592212549
trtr,CTGAN,10,0,mushrooms,adaboost,accuracy,1.0
trtr,CTGAN,10,0,mushrooms,random_forest,accuracy,1.0
trtr,CTGAN,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,CTGAN,10,0,mushrooms,adaboost,accuracy,0.8621538461538462
tstr,CTGAN,10,0,mushrooms,random_forest,accuracy,0.9150769230769231
tstr,CTGAN,10,0,mushrooms,svm,accuracy,0.8467692307692307
sdv_eval,CTGAN,10,0,mushrooms,sdv_eval,quality_score,0.9625286995119682
trtr,GANBLR,25,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,0,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,0,superstore,adaboost,accuracy,0.048024012006003
tstr,GANBLR,25,0,superstore,random_forest,accuracy,0.9374687343671836
tstr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,0,superstore,sdv_eval,quality_score,0.8925678599354108
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9144553072625698
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8470670391061452
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8123254189944135
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.7925977653631285
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,quality_score,0.7818440035139081
trtr,GANBLR,25,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,25,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,25,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,25,0,mushrooms,adaboost,accuracy,0.9938461538461538
tstr,GANBLR,25,0,mushrooms,random_forest,accuracy,0.8904615384615384
tstr,GANBLR,25,0,mushrooms,svm,accuracy,0.6326153846153846
sdv_eval,GANBLR,25,0,mushrooms,sdv_eval,quality_score,0.7795509970599797
trtr,GANBLR,25,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,1,superstore,random_forest,accuracy,0.9639819909954978
trtr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,random_forest,accuracy,0.950975487743872
tstr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,1,superstore,sdv_eval,quality_score,0.9258133156665035
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9137569832402235
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8549231843575419
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.8577164804469274
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.8112779329608939
sdv_eval,GANBLR,25,1,credit_risk,sdv_eval,quality_score,0.8304471432105367
trtr,GANBLR,25,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,25,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,25,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,25,1,mushrooms,adaboost,accuracy,0.9815384615384616
tstr,GANBLR,25,1,mushrooms,random_forest,accuracy,0.984
tstr,GANBLR,25,1,mushrooms,svm,accuracy,0.9446153846153846
sdv_eval,GANBLR,25,1,mushrooms,sdv_eval,quality_score,0.8737238220573105
trtr,CTGAN,25,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,CTGAN,25,0,superstore,random_forest,accuracy,0.9654827413706853
trtr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,25,0,superstore,adaboost,accuracy,0.9194597298649325
tstr,CTGAN,25,0,superstore,random_forest,accuracy,0.9134567283641821
tstr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,25,0,superstore,sdv_eval,quality_score,0.9625662386341607
trtr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.9162011173184358
trtr,CTGAN,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.8535265363128491
tstr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.822800279329609
tstr,CTGAN,25,0,credit_risk,svm,accuracy,0.8261173184357542
sdv_eval,CTGAN,25,0,credit_risk,sdv_eval,quality_score,0.9603361846773408
trtr,CTGAN,25,0,mushrooms,adaboost,accuracy,1.0
trtr,CTGAN,25,0,mushrooms,random_forest,accuracy,1.0
trtr,CTGAN,25,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,CTGAN,25,0,mushrooms,adaboost,accuracy,0.8578461538461538
tstr,CTGAN,25,0,mushrooms,random_forest,accuracy,0.8775384615384615
tstr,CTGAN,25,0,mushrooms,svm,accuracy,0.8313846153846154
sdv_eval,CTGAN,25,0,mushrooms,sdv_eval,quality_score,0.9682628989631846
trtr,GANBLR,50,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,50,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,0,superstore,adaboost,accuracy,0.927463731865933
tstr,GANBLR,50,0,superstore,random_forest,accuracy,0.9504752376188094
tstr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,0,superstore,sdv_eval,quality_score,0.8905673119503952
trtr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8451466480446927
tstr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.8289106145251397
tstr,GANBLR,50,0,credit_risk,svm,accuracy,0.8041201117318436
sdv_eval,GANBLR,50,0,credit_risk,sdv_eval,quality_score,0.7755781264269022
trtr,GANBLR,50,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,50,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,50,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,50,0,mushrooms,adaboost,accuracy,0.7347692307692307
tstr,GANBLR,50,0,mushrooms,random_forest,accuracy,0.88
tstr,GANBLR,50,0,mushrooms,svm,accuracy,0.4646153846153846
sdv_eval,GANBLR,50,0,mushrooms,sdv_eval,quality_score,0.7460732364429146
trtr,GANBLR,50,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,50,1,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,1,superstore,adaboost,accuracy,0.935967983991996
tstr,GANBLR,50,1,superstore,random_forest,accuracy,0.9634817408704353
tstr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,1,superstore,sdv_eval,quality_score,0.9242941582463677
trtr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.9151536312849162
trtr,GANBLR,50,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8182611731843575
tstr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.8425279329608939
tstr,GANBLR,50,1,credit_risk,svm,accuracy,0.8217527932960894
sdv_eval,GANBLR,50,1,credit_risk,sdv_eval,quality_score,0.8164131007965661
trtr,GANBLR,50,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,50,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,50,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,50,1,mushrooms,adaboost,accuracy,0.9747692307692307
tstr,GANBLR,50,1,mushrooms,random_forest,accuracy,0.9858461538461538
tstr,GANBLR,50,1,mushrooms,svm,accuracy,0.9507692307692308
sdv_eval,GANBLR,50,1,mushrooms,sdv_eval,quality_score,0.8680167792218825
trtr,CTGAN,50,0,superstore,adaboost,accuracy,0.9104552276138069
