Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9304652326163082
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.8933721841918449
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8463687150837989
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8297835195530726
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.8009776536312849
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.7908273595906535
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.9729230769230769
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.8732307692307693
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.7058461538461539
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,3.184338982660512e-10
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9364682341170585
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,1,superstore,sdv_eval,quality_score,0.9109317515575166
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8496857541899442
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8543994413407822
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.802199720670391
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.8343651558970291
trtr,GANBLR,10,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,1,mushrooms,adaboost,accuracy,0.9538461538461539
tstr,GANBLR,10,1,mushrooms,random_forest,accuracy,0.984
tstr,GANBLR,10,1,mushrooms,svm,accuracy,0.9347692307692308
sdv_eval,GANBLR,10,1,mushrooms,sdv_eval,quality_score,3.184338936584062e-10
trtr,GANBLR,25,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,0,superstore,adaboost,accuracy,0.927463731865933
tstr,GANBLR,25,0,superstore,random_forest,accuracy,0.9454727363681841
tstr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,0,superstore,sdv_eval,quality_score,0.8926424370920139
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8461941340782123
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8055167597765364
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.8011522346368715
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,quality_score,0.7858754625715627
trtr,GANBLR,25,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,25,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,25,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,25,0,mushrooms,adaboost,accuracy,0.9415384615384615
tstr,GANBLR,25,0,mushrooms,random_forest,accuracy,0.8332307692307692
tstr,GANBLR,25,0,mushrooms,svm,accuracy,0.5538461538461539
sdv_eval,GANBLR,25,0,mushrooms,sdv_eval,quality_score,3.184338932195829e-10
trtr,GANBLR,25,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,1,superstore,random_forest,accuracy,0.9654827413706853
